store_id,store_name,city
,Store_1,Chicago
2.0,Store_2,Chicago
3.0,Store_3,Los Angeles
4.0,Store_4,Chicago
5.0,Store_5,Phoenix
6.0,Store_6,New York
7.0,Store_7,New York
8.0,Store_8,Phoenix
9.0,Store_9,Phoenix
10.0,Store_10,Phoenix
11.0,Store_11,New York
12.0,Store_12,New York
,Store_13,New York
14.0,Store_14,Phoenix
15.0,Store_15,Phoenix
16.0,Store_16,Los Angeles
17.0,Store_17,Los Angeles
18.0,Store_18,Los Angeles
19.0,Store_19,Chicago
20.0,Store_20,New York
21.0,Store_21,New York
22.0,Store_22,New York
23.0,Store_23,Chicago
,Store_24,Chicago
25.0,Store_25,Houston
26.0,Store_26,New York
27.0,Store_27,New York
,Store_28,New York
29.0,Store_29,Chicago
30.0,Store_30,New York
31.0,Store_31,Los Angeles
32.0,Store_32,Phoenix
33.0,Store_33,Phoenix
34.0,Store_34,Los Angeles
35.0,Store_35,New York
36.0,Store_36,Chicago
37.0,Store_37,Chicago
38.0,Store_38,Houston
39.0,Store_39,Los Angeles
40.0,Store_40,Phoenix
41.0,Store_41,Phoenix
42.0,Store_42,Houston
43.0,Store_43,Phoenix
44.0,Store_44,New York
45.0,Store_45,Chicago
46.0,Store_46,Los Angeles
,Store_47,Los Angeles
48.0,Store_48,New York
49.0,Store_49,Los Angeles
50.0,Store_50,New York
51.0,Store_51,Phoenix
52.0,Store_52,Houston
53.0,Store_53,New York
54.0,Store_54,Chicago
,Store_55,New York
56.0,Store_56,Houston
57.0,Store_57,Houston
58.0,Store_58,New York
59.0,Store_59,Los Angeles
60.0,Store_60,Los Angeles
61.0,Store_61,Los Angeles
62.0,Store_62,Phoenix
63.0,Store_63,Chicago
64.0,Store_64,Chicago
65.0,Store_65,Chicago
66.0,Store_66,Chicago
67.0,Store_67,Chicago
68.0,Store_68,Houston
69.0,Store_69,Phoenix
70.0,Store_70,Los Angeles
71.0,Store_71,Chicago
,Store_72,Houston
73.0,Store_73,Phoenix
74.0,Store_74,Phoenix
75.0,Store_75,Los Angeles
76.0,Store_76,Houston
77.0,Store_77,Phoenix
78.0,Store_78,Chicago
79.0,Store_79,Phoenix
80.0,Store_80,Houston
81.0,Store_81,Los Angeles
82.0,Store_82,Los Angeles
83.0,Store_83,Houston
84.0,Store_84,Los Angeles
85.0,Store_85,Houston
86.0,Store_86,New York
87.0,Store_87,Chicago
88.0,Store_88,New York
89.0,Store_89,New York
90.0,Store_90,Phoenix
91.0,Store_91,New York
92.0,Store_92,Los Angeles
93.0,Store_93,Phoenix
94.0,Store_94,New York
95.0,Store_95,Phoenix
96.0,Store_96,Los Angeles
97.0,Store_97,Chicago
98.0,Store_98,Los Angeles
99.0,Store_99,Los Angeles
100.0,Store_100,Chicago
101.0,Store_101,Phoenix
102.0,Store_102,New York
103.0,Store_103,New York
104.0,Store_104,Los Angeles
105.0,Store_105,Houston
106.0,Store_106,Los Angeles
107.0,Store_107,Los Angeles
108.0,Store_108,Los Angeles
109.0,Store_109,Los Angeles
110.0,Store_110,Los Angeles
111.0,Store_111,Los Angeles
112.0,Store_112,Phoenix
113.0,Store_113,New York
114.0,Store_114,Phoenix
115.0,Store_115,Los Angeles
116.0,Store_116,Houston
117.0,Store_117,Chicago
118.0,Store_118,New York
119.0,Store_119,Phoenix
120.0,Store_120,Houston
121.0,Store_121,Houston
122.0,Store_122,Houston
123.0,Store_123,New York
124.0,Store_124,Chicago
125.0,Store_125,Houston
126.0,Store_126,Los Angeles
127.0,Store_127,Los Angeles
128.0,Store_128,Phoenix
129.0,Store_129,New York
,Store_130,Los Angeles
131.0,Store_131,Phoenix
132.0,Store_132,Phoenix
133.0,Store_133,Phoenix
134.0,Store_134,Los Angeles
,Store_135,Houston
136.0,Store_136,Phoenix
137.0,Store_137,Phoenix
138.0,Store_138,Houston
139.0,Store_139,Houston
140.0,Store_140,Phoenix
141.0,Store_141,Chicago
142.0,Store_142,Chicago
143.0,Store_143,Los Angeles
144.0,Store_144,Chicago
145.0,Store_145,Chicago
146.0,Store_146,Chicago
147.0,Store_147,Los Angeles
148.0,Store_148,Los Angeles
,Store_149,Houston
150.0,Store_150,Chicago
151.0,Store_151,New York
152.0,Store_152,Houston
153.0,Store_153,Chicago
154.0,Store_154,Houston
155.0,Store_155,Phoenix
156.0,Store_156,Chicago
157.0,Store_157,New York
158.0,Store_158,Phoenix
159.0,Store_159,Chicago
160.0,Store_160,Houston
161.0,Store_161,Phoenix
162.0,Store_162,Phoenix
163.0,Store_163,Phoenix
164.0,Store_164,Chicago
165.0,Store_165,Chicago
166.0,Store_166,Phoenix
167.0,Store_167,Los Angeles
168.0,Store_168,Phoenix
169.0,Store_169,Los Angeles
170.0,Store_170,Houston
171.0,Store_171,New York
172.0,Store_172,Phoenix
173.0,Store_173,Los Angeles
174.0,Store_174,Phoenix
175.0,Store_175,Los Angeles
,Store_176,New York
177.0,Store_177,Chicago
178.0,Store_178,Phoenix
179.0,Store_179,Los Angeles
180.0,Store_180,New York
181.0,Store_181,Phoenix
182.0,Store_182,New York
183.0,Store_183,Phoenix
184.0,Store_184,New York
185.0,Store_185,Phoenix
186.0,Store_186,Phoenix
187.0,Store_187,Phoenix
